*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:01:07:009887,Child Name:,Muhammad
2017-11-30 09:01:07:010074,Reading speed:,0.06with0.06delay
2017-11-30 09:01:07:009828,Instruction:,"NumberOfStart:
2
ChildName:
Muhammad
HandMoveSpeed:
0.06
ReadDelay:
0.08
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:01:26:382222,Robot Hand Pose: ,"x: 0.190393522382
y: 0.110057286918
z: 0.221010372043
x: 0.00517129758373
y: 0.466614991426
z: 0.00527399079874
w: 1.0"
2017-11-30 09:01:26:383436,Current Word:,\rspd=70\  casket
2017-11-30 09:01:26:457671,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:458784,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:459064,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:466064,Robot State:,0.08
2017-11-30 09:01:26:660379,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:661530,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:661785,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:754225,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:754579,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:26:754641,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:860302,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:26:861716,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:26:862045,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:057149,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:058815,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:059025,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:156816,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:158515,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:158722,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:163297,Robot Hand Pose: ,"x: 0.190651327372
y: 0.103287510574
z: 0.22031699121
x: 0.00880592968315
y: 0.468746721745
z: -0.0307778567076
w: 1.0"
2017-11-30 09:01:27:164113,Current Word:,\rspd=70\ with
2017-11-30 09:01:27:248583,Robot State:,0.08
2017-11-30 09:01:27:352320,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:352918,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:353170,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:560330,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:561191,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:561436,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:659448,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:660799,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:661079,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:751419,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:752214,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:752143,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:957241,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:27:958403,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:27:958813,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:27:981022,Robot Hand Pose: ,"x: 0.188974842429
y: 0.0965190604329
z: 0.216860324144
x: 0.00658070063218
y: 0.485496103764
z: -0.0669967755675
w: 1.0"
2017-11-30 09:01:27:982086,Current Word:,\rspd=70\ him
2017-11-30 09:01:28:059673,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:060904,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:060597,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:072276,Robot State:,0.08
2017-11-30 09:01:28:166932,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:167446,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:167848,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:357506,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:358376,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:358598,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:449026,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:449804,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:449937,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:558317,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:559374,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:559758,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:654797,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:656167,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:655960,Detected ARTags: ,"[41, 42]"
