*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:16:46:949057,Child Name:,Maya
2017-11-30 09:16:46:948927,Instruction:,"NumberOfStart:
2
ChildName:
Maya
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:16:59:262143,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:356706,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:357544,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:357722,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:460669,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:461011,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:461386,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:558043,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:558618,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:558940,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:658983,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:660690,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:661073,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:750603,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:751020,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:751143,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:864283,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:864736,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:59:865023,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:955293,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:59:955962,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:59:956080,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:062668,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:063776,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:063875,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:156477,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:157442,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:157579,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:250348,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:250661,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:250717,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:360055,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:361769,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:362163,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:424651,Robot Hand Pose: ,"x: 0.100637190044
y: 0.0637320131063
z: 0.175502255559
x: -1.07053112984
y: 0.472348421812
z: -0.565486967564
w: 1.0"
2017-11-30 09:17:00:425743,Current Word:,\rspd=70\ Chip
2017-11-30 09:17:00:432106,Robot State:,0.0
2017-11-30 09:17:00:458540,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:459001,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:459142,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:558651,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:559887,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:559764,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:658152,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:659925,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:659767,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:859749,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:861199,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:861464,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:00:950525,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:00:951155,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:00:951355,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:059912,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:060711,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:060967,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:162617,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:164635,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:164898,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:259499,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:260426,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:260564,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:359687,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:360078,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:360278,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:448763,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:449391,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:449499,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:555449,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:556507,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:556694,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:661766,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:662885,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:663306,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:750520,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:750953,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:751122,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:851091,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:851325,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:851508,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:01:960707,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:01:961457,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:01:961845,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:049187,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:049648,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:049561,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:203545,Robot Hand Pose: ,"x: 0.100588999689
y: 0.0637116283178
z: 0.175547093153
x: -1.07185089588
y: 0.472131878138
z: -0.565396726131
w: 1.0"
2017-11-30 09:17:02:204730,Current Word:,\rspd=70\  stayed
2017-11-30 09:17:02:206863,Robot State:,0.0
2017-11-30 09:17:02:253611,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:254511,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:254812,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:362012,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:363143,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:363665,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:451887,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:452385,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:452303,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:551752,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:552469,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:552662,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:754999,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:756263,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:756520,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:855606,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:857034,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:02:857164,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:961860,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:02:963022,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:02:963255,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:063091,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:064025,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:063930,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:251262,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:251520,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:251783,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:362329,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:363761,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:364269,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:453160,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:453839,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:454175,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:547755,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:548156,Detected ARTags: ,"[34, 35]"
