*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-12-01 09:21:25:469504,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:565501,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:566184,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:566512,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:666397,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:667643,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:667853,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:765963,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:767137,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:767401,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:858956,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:859212,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:25:859351,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:967137,Detected ARTags: ,"90, 91"
2017-12-01 09:21:25:967528,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:25:967628,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:26:129161,Robot State:,Looking at The Book
2017-12-01 09:21:32:360851,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:361714,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:32:362116,Current State of Reading: ,False
2017-12-01 09:21:32:465477,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:466984,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:32:467212,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:32:560785,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:561098,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:32:561159,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:32:656062,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:32:656195,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:656360,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:32:766120,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:767526,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:32:767742,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:32:866953,Detected ARTags: ,"92, 93"
2017-12-01 09:21:32:868056,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:32:867910,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:067843,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:068492,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:068870,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:168702,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:169191,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:169376,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:268457,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:269062,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:269343,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:364638,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:365232,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:365451,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:461544,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:461969,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:462174,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:569041,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:570056,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:569791,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:661072,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:661220,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:661361,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:769378,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:770079,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:770619,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:870111,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:869888,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:870457,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:968707,Detected ARTags: ,"92, 93"
2017-12-01 09:21:33:969236,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:33:969453,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:33:997165,Body Gesture:,Pointing
2017-12-01 09:21:34:015461,Robot State:,Reading Mode Started
2017-12-01 09:21:34:015711,Current State of Correction: ,False
2017-12-01 09:21:34:059885,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:060484,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:060624,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:166131,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:166571,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:166826,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:268838,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:269368,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:269698,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:368729,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:369266,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:369544,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:457428,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:458015,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:458068,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:568076,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:569258,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:569475,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:659695,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:660060,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:660126,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:767327,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:769293,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:769466,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:866763,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:869146,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:34:869330,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:971625,Detected ARTags: ,"92, 93"
2017-12-01 09:21:34:971998,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:34:972165,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:069060,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:070480,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:070843,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:164044,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:165198,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:165394,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:264091,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:265211,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:265375,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:364198,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:365045,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:365317,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:468203,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:469877,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:470064,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:563957,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:564831,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:565036,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:660460,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:661088,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:661370,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:771680,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:772024,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:772192,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:875888,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:876159,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:35:876384,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:960729,Detected ARTags: ,"92, 93"
2017-12-01 09:21:35:961462,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:35:961621,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:068577,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:069280,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:069535,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:164131,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:164592,Current State of Reading: ,Waiting for Red-card
