*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 20:12:14:143347,Child Name:,test
2017-11-30 20:12:14:143198,Reading speed:,0.05with0.05delay
2017-11-30 20:12:14:143537,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-11-30 20:12:25:232263,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:315500,Robot State:,Looking at The Book
2017-11-30 20:12:25:427032,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:427487,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:427614,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:530904,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:532240,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:532165,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:622747,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:623627,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:623753,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:737473,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:738275,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:738473,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:816730,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:817346,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:817444,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:25:917108,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:25:917430,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:25:917484,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:031042,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:029711,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:031535,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:128622,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:129225,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:129323,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:223324,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:225953,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:226148,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:432465,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:433040,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:432883,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:516771,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:516882,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:617283,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:617432,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:617529,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:733956,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:735013,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:735346,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:824746,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:825778,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:26:825889,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:935792,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:26:936844,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:26:936980,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:031935,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:033251,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:033076,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:130058,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:130941,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:131246,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:216821,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:217047,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:217162,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:315936,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:316630,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:316694,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:415840,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:416517,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:416463,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:525263,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:526437,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:526627,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:626916,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:627503,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:627601,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:733342,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:734221,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:27:734529,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:27:934682,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:27:934991,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:28:026699,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:28:027796,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:28:027943,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:28:124082,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:28:125097,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:28:124983,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:28:225460,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:28:225879,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:28:226028,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:28:316763,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:28:317090,Current State of Reading: ,Waiting for Red-card
