*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 17:40:18:601486,Child Name:,Isabela
2017-11-30 17:40:18:601680,Reading speed:,0.06with0.06delay
2017-11-30 17:40:18:601744,Instruction:,"NumberOfStart:
2
ChildName:
Isabela
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 17:40:35:361774,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:459528,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:460734,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:460857,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:555476,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:556093,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:556184,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:658874,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:660011,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:659880,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:757786,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:759675,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:759572,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:865146,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:865662,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:865914,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:35:967346,Detected ARTags: ,"85, 86"
2017-11-30 17:40:35:968344,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:35:968541,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:36:066657,Detected ARTags: ,"85, 86"
2017-11-30 17:40:36:067350,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:36:067199,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:36:152909,Detected ARTags: ,"85, 86"
